序号,来源,动作编码,动作名称,器械,原始一级分类,原始子分类,实际一级分类,实际二级肌肉,实际三级肌区,用户可见路径,主动肌区,协同肌区,可疑提示,审核结论,建议一级分类,建议二级肌肉,建议三级肌区,建议器械,审核备注
415,imported,BAND_CONCENTRATION_CURL,弹力绳-集中弯举,弹力带,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
416,imported,BAND_HAMMER_CURL,弹力绳-锤式弯举,弹力带,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
417,imported,BAND_SEATED_CURL,弹力绳-坐姿弯举,弹力带,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
418,imported,BB_EZ_BAR_CURL,EZ杆二头弯举,杠铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
419,imported,MACHINE_INCLINE_CURL,上举式器械弯举,器械,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
420,imported,DB_WAITER_CURL,哑铃环抱弯举,哑铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
421,imported,DB_BALL_PREACHER_CURL,健身球牧师哑铃弯举,哑铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
422,imported,DB_PRONE_INCLINE_HAMMER_CURL,俯卧上斜哑铃锤式弯举,哑铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
423,imported,SINGLE_ARM_ZOTTMAN_CURL,单臂佐特曼牧师凳弯举,自重,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
424,imported,SINGLE_LEG_CONCENTRATION_CURL,单腿集中弯举,自重,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
425,imported,DB_CROSS_HAMMER_CURL,哑铃交叉锤式弯举,哑铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
426,imported,CABLE_OVERHEAD_CURL,绳索过顶弯举,绳索,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
427,imported,SUSP_BICEP_CURL,悬挂带手臂弯举至耳侧,悬挂,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
428,imported,DB_ALTERNATING_CURL,哑铃交替弯举,哑铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
429,imported,MACHINE_PREACHER_CURL,器械牧师凳弯举,器械,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
430,imported,CABLE_STANDING_INWARD_CURL,绳索站姿内旋弯举,绳索,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
431,imported,BB_PRONE_INCLINE_CURL,俯卧上斜杠铃弯举,杠铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
432,imported,DB_ALTERNATING_HAMMER_CURL,哑铃锤式交替弯举,哑铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
433,imported,DB_PRONE_INCLINE_CURL,俯卧上斜哑铃弯举,哑铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
434,imported,BB_DRAG_CURL,杠铃拖式弯举,杠铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
435,imported,SUSP_RING_CURL,吊环弯举,悬挂,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
436,imported,SUSP_SINGLE_ARM_CURL,吊环单臂二头肌弯举,悬挂,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
437,imported,MACHINE_FRONT_CURL,训练器前弯举,器械,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
438,imported,BB_REVERSE_WRIST_CURL,正手杠铃手腕弯举,杠铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
439,imported,EZ_REVERSE_CURL,EZ正手杠铃弯举,杠铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
440,imported,BB_REVERSE_WRIST_CURL_BENCH,正手杠铃手腕弯举（平板）,杠铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
441,imported,BB_BEHIND_BACK_WRIST_CURL,背身杠铃手腕弯举,杠铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
442,imported,CABLE_WRIST_CURL,绳索手腕弯举,绳索,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
443,imported,DB_SINGLE_ARM_WRIST_CURL,单手哑铃手腕弯举（反手）,哑铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
444,imported,DB_SINGLE_ARM_REVERSE_WRIST_CURL,单手哑铃手腕弯举（正手）,哑铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
445,imported,DB_HANGING_WRIST_CURL,垂式哑铃手腕弯举,哑铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
446,imported,BB_PLATE_REVERSE_CURL,杠铃片正手弯举,杠铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
447,imported,DB_BENCH_WRIST_CURL,哑铃过凳腕弯举,哑铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
448,imported,DB_BEHIND_BACK_FINGER_CURL,背后哑铃指弯举,哑铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
449,imported,CABLE_SINGLE_ARM_TRICEP_EXT,单手绳索臂屈伸,绳索,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
450,imported,DIP_PUSH_UP,臂屈伸式俯卧撑,自重,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
451,imported,SUSP_DIP,吊环双杠臂屈伸,悬挂,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
452,imported,CHAIR_DIP,椅子双臂臂屈伸,自重,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
453,imported,BB_STRAIGHT_ARM_PUSHDOWN,铁杆直臂下压,杠铃,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
454,imported,DB_OVERHEAD_TRICEP_EXT,哑铃过头臂屈伸,哑铃,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
455,imported,DB_SINGLE_OVERHEAD_TRICEP_EXT,哑铃过头臂屈伸（单手）,哑铃,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
456,imported,BB_SEATED_OVERHEAD_EXT,坐姿杠铃过头臂屈伸,杠铃,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
457,imported,CABLE_TRICEP_EXT,绳索臂屈伸,绳索,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
458,imported,CABLE_KNEELING_TRICEP_EXT,跪姿绳索臂屈伸,绳索,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
459,imported,CABLE_OVERHEAD_TRICEP_EXT,绳索过头臂屈伸,绳索,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
460,imported,CABLE_KNEELING_OVERHEAD_EXT,绳索过头臂屈伸（跪姿）,绳索,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
461,imported,HAMMER_TRICEP_PUSHDOWN,悍马机三头下压,悍马机,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
462,imported,MACHINE_TRICEP_PUSHDOWN,器械三头下压（正向）,器械,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
463,imported,BODYWEIGHT_SKULL_CRUSHER,碎颅者,自重,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
