序号,来源,动作编码,动作名称,器械,原始一级分类,原始子分类,实际一级分类,实际二级肌肉,实际三级肌区,用户可见路径,主动肌区,协同肌区,可疑提示,审核结论,建议一级分类,建议二级肌肉,建议三级肌区,建议器械,审核备注
624,imported,SIDE_LYING_HIP_ADDUCTION,侧卧髋内收,自重,臀,臀中肌,臀,臀中肌,,臀 > 臀中肌,gluteMed,,,,,,,,
625,imported,SUSP_GLUTE_BRIDGE,吊环臀桥,悬挂,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
626,imported,FROG_PRONE_LEG_RAISE,青蛙趴抬腿,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
627,imported,LYING_HIP_THRUST,平躺式臀冲,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
628,imported,HIP_THRUST_OPEN_CLOSE,臀冲开合,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
629,imported,GLUTE_BRIDGE_MARCH,臀桥行进,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
630,imported,FROG_SIT_UP,蛙式仰卧起坐,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
631,imported,KNEELING_HIP_THRUST,跪姿臀冲,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
632,imported,FROG_HIP_EXTENSION,青蛙式后屈伸,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
633,imported,TABLETOP_GLUTE_BRIDGE,顶桌臀桥,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
634,imported,FROG_HIP_THRUST,蛙式臀推,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
635,imported,SINGLE_LEG_BRIDGE_EXT_ROTATION,单腿臀桥外旋,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
636,imported,SINGLE_LEG_STRAIGHT_BRIDGE_HOLD,单腿直腿臀桥保持,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
637,imported,BENT_KNEE_GLUTE_BRIDGE,屈膝臀桥,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
638,imported,FROG_CRUNCH,青蛙卷腹,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
639,imported,BODYWEIGHT_HIP_THRUST,自重臀冲,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
